freq,unit,age,sex,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PRP,TOTAL,T,AL	:	:	0.585	0.539	0.507	0.462	:	:
A,PRP,TOTAL,T,AT	0.169	0.172	0.171	0.168	0.165	0.167	0.173	:
A,PRP,TOTAL,T,BE	0.216	0.222	0.22	0.205	0.2	0.203	0.188	:
A,PRP,TOTAL,T,BG	0.433	0.41	0.38	0.33	0.332	0.336	0.317	0.322
A,PRP,TOTAL,T,CH	0.182	0.177	0.182	0.175	0.189	0.184	0.177	:
A,PRP,TOTAL,T,CY	0.228	0.226	0.214	0.191	0.186	0.176	0.173	:
A,PRP,TOTAL,T,CZ	0.13	0.124	0.121	0.118	0.121	0.115	0.107	:
A,PRP,TOTAL,T,DE	0.2	0.198	0.188	0.185	0.173	0.204	0.21	:
A,PRP,TOTAL,T,DK	0.186	0.175	0.178	0.175	0.173	0.168	0.173	:
A,PRP,TOTAL,T,EA	0.23	0.228	0.217	0.214	0.208	0.216	0.219	:
A,PRP,TOTAL,T,EA18	0.229	0.227	0.217	0.213	0.207	0.216	:	:
A,PRP,TOTAL,T,EA19	0.23	0.228	0.217	0.214	0.208	0.216	0.219	:
A,PRP,TOTAL,T,EE	0.236	0.231	0.233	0.236	0.237	0.228	0.222	:
A,PRP,TOTAL,T,EL	0.324	0.326	0.322	0.303	0.29	0.274	0.283	:
A,PRP,TOTAL,T,ES	0.287	0.288	0.275	0.273	0.262	0.27	0.278	:
A,PRP,TOTAL,T,EU	0.239	0.234	0.223	0.218	0.211	:	:	:
A,PRP,TOTAL,T,EU27_2007	:	:	:	:	0.213	:	:	:
A,PRP,TOTAL,T,EU27_2020	0.24	0.237	0.224	0.217	0.211	0.216	0.217	:
A,PRP,TOTAL,T,EU28	0.239	0.234	0.223	0.218	0.211	:	:	:
A,PRP,TOTAL,T,FI	0.169	0.165	0.16	0.166	0.154	0.159	0.142	:
A,PRP,TOTAL,T,FR	0.184	0.187	0.178	0.179	0.188	0.193	0.193	:
A,PRP,TOTAL,T,HR	0.244	0.235	0.237	0.221	0.208	0.205	0.209	:
A,PRP,TOTAL,T,HU	0.306	0.286	0.259	0.206	0.2	0.194	0.194	:
A,PRP,TOTAL,T,IE	0.254	0.238	0.224	0.208	0.204	0.201	0.2	:
A,PRP,TOTAL,T,IS	0.126	0.118	0.126	0.113	:	:	:	:
A,PRP,TOTAL,T,IT	0.284	0.278	0.259	0.257	0.246	0.249	0.252	:
A,PRP,TOTAL,T,LT	0.294	0.3	0.298	0.285	0.255	0.245	0.234	:
A,PRP,TOTAL,T,LU	0.184	0.191	0.193	0.201	0.201	0.199	0.211	:
A,PRP,TOTAL,T,LV	0.3	0.282	0.285	0.284	0.267	0.251	0.261	:
A,PRP,TOTAL,T,ME	0.438	0.431	0.422	0.412	0.365	0.378	:	:
A,PRP,TOTAL,T,MK	0.412	0.392	0.369	0.353	0.341	0.326	:	:
A,PRP,TOTAL,T,MT	0.222	0.202	0.194	0.192	0.207	0.199	0.203	:
A,PRP,TOTAL,T,NL	0.164	0.163	0.166	0.165	0.165	0.16	0.166	0.165
A,PRP,TOTAL,T,NO	0.147	0.144	0.154	0.158	0.156	0.163	:	:
A,PRP,TOTAL,T,PL	0.225	0.206	0.187	0.182	0.179	0.17	0.168	:
A,PRP,TOTAL,T,PT	0.264	0.249	0.234	0.216	0.211	0.2	0.224	:
A,PRP,TOTAL,T,RO	0.445	0.46	0.425	0.387	0.361	0.356	0.344	:
A,PRP,TOTAL,T,RS	0.41	0.3	0.393	0.339	0.311	0.298	0.284	:
A,PRP,TOTAL,T,SE	0.182	0.177	0.172	0.177	0.184	0.177	0.172	:
A,PRP,TOTAL,T,SI	0.177	0.169	0.166	0.154	0.137	0.143	0.132	:
A,PRP,TOTAL,T,SK	0.173	0.171	0.158	0.152	0.148	0.138	0.156	:
A,PRP,TOTAL,T,TR	0.267	0.266	0.323	0.324	0.331	0.341	:	:
A,PRP,TOTAL,T,UK	0.231	0.219	0.218	0.228	:	:	:	:
A,PRP,TOTAL,T,EU27-2007	:	:	:	:	0.213	:	:	:
A,PRP,TOTAL,T,EU27-2020	0.24	0.237	0.224	0.217	0.211	0.216	0.217	:
